                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 2.4288,                 2.2523,                 1.3302,                0.82982,                0.65517,                0.58148,                0.61848,                0.22534,                0.43771,                0.45644,                0.36703,                0.15097,                 2.5335,                 2.8422,                 1.2166,                0.90585,             0.00070278,             0.00070278,             0.00070278
                     80,                 2.3464,                 2.3283,                 1.3933,                0.82238,                 0.6554,                0.60211,                0.64232,                0.21876,                 0.4015,                0.46337,                0.34814,                0.14286,                 2.5094,                 3.0302,                 1.1984,                0.89735,             0.00069335,             0.00069335,             0.00069335
                     81,                 2.4906,                 2.5684,                 1.3311,                0.80507,                 0.6554,                0.60211,                0.64232,                0.21876,                 0.4015,                0.46337,                0.34814,                0.14286,                 2.5094,                 3.0302,                 1.1984,                0.89735,             0.00068392,             0.00068392,             0.00068392
                     82,                 2.3498,                 2.3398,                 1.2329,                 0.8271,                 0.6554,                0.60211,                0.64232,                0.21876,                 0.4015,                0.46337,                0.34814,                0.14286,                 2.5094,                 3.0302,                 1.1984,                0.89735,             0.00067449,             0.00067449,             0.00067449
                     83,                 2.2411,                 2.1024,                 1.2138,                0.81474,                0.65482,                0.59336,                0.64493,                0.21822,                0.36602,                0.45639,                0.31986,                0.11845,                 2.4967,                  3.391,                 1.2044,                0.89336,             0.00066506,             0.00066506,             0.00066506
                     84,                 2.5262,                  2.457,                 1.3481,                0.79603,                0.65482,                0.59336,                0.64493,                0.21822,                0.36602,                0.45639,                0.31986,                0.11845,                 2.4967,                  3.391,                 1.2044,                0.89336,             0.00065563,             0.00065563,             0.00065563
                     85,                  2.368,                 2.2932,                 1.2848,                0.81358,                0.65082,                0.60147,                 0.6262,                0.21166,                 0.3457,                0.42603,                0.29813,                0.10506,                 2.5201,                 3.5229,                 1.2281,                0.88918,             0.00064619,             0.00064619,             0.00064619
                     86,                 2.2384,                 2.2936,                 1.2783,                0.82557,                0.65082,                0.60147,                 0.6262,                0.21166,                 0.3457,                0.42603,                0.29813,                0.10506,                 2.5201,                 3.5229,                 1.2281,                0.88918,             0.00063676,             0.00063676,             0.00063676
                     87,                 2.2461,                 2.1112,                  1.226,                0.81325,                0.65082,                0.60147,                 0.6262,                0.21166,                 0.3457,                0.42603,                0.29813,                0.10506,                 2.5201,                 3.5229,                 1.2281,                0.88918,             0.00062733,             0.00062733,             0.00062733
                     88,                 2.3141,                  2.064,                 1.2562,                0.83357,                0.64185,                0.60264,                0.61009,                0.20369,                0.33776,                0.41175,                0.27341,                0.09638,                 2.5641,                 3.5999,                 1.2586,                0.88756,              0.0006179,              0.0006179,              0.0006179
